Type;Id;Name;Description;ManaCost;Rarity;Subtype
LAND;1;Forest;Basic land that produces green mana;;Common;Forest
LAND;2;Island;Basic land that produces blue mana;;Common;Island
LAND;3;Plains;Basic land that produces white mana;;Common;Plains
LAND;4;Swamp;Basic land that produces black mana;;Common;Swamp
LAND;5;Mountain;Basic land that produces red mana;;Common;Mountain
LAND;6;Command Tower;Land that produces any color in commander;;Common;Tower
LAND;7;Sol Ring;Land that produces two colorless mana;;Rare;Treasure
LAND;8;Arcane Signet;Land that produces any color in commander;;Rare;Signet
LAND;9;Path of Ancestry;Land that produces color based on creature types;;Uncommon;Ancestry
LAND;10;Temple Garden;Land that produces green or white mana;;Rare;Guildgate
LAND;11;Breeding Pool;Land that produces blue or green mana;;Rare;Guildgate
LAND;12;Steam Vents;Land that produces blue or red mana;;Rare;Guildgate
